Kod woj.;Województwo;Kod gm.;Gmina;Typ gminy;Powiat;L. obwodów;Frekwencja;% głosów ważnych;JUREK Marek;KACZYŃSKI Jarosław Aleksander;KOMOROWSKI Bronisław Maria;KORWIN-MIKKE Janusz Ryszard;LEPPER Andrzej Zbigniew;MORAWIECKI Kornel Andrzej;NAPIERALSKI Grzegorz Bernard;OLECHOWSKI Andrzej Marian;PAWLAK Waldemar;ZIĘTEK Bogusław Zbigniew
02;dolnośląskie;020101;Bolesławiec, m.;miejska;bolesławiecki;18;54,84;99,39;0,95;26,59;50,10;2,65;0,67;0,18;16,53;1,50;0,71;0,12
02;dolnośląskie;020102;Bolesławiec, gm.;wiejska;bolesławiecki;9;48,63;99,13;0,42;31,57;46,09;2,44;1,82;0,36;14,58;1,24;1,40;0,08
02;dolnośląskie;020103;Gromadka, gm.;wiejska;bolesławiecki;4;49,46;99,13;0,93;37,44;40,44;2,08;2,82;0,28;13,33;0,69;1,80;0,19
02;dolnośląskie;020104;Nowogrodziec, gm.;miejsko-wiejska;bolesławiecki;12;44,07;99,27;0,87;33,60;43,06;2,23;2,41;0,16;14,06;1,28;2,15;0,17
02;dolnośląskie;020105;Osiecznica, gm.;wiejska;bolesławiecki;7;47,78;99,33;0,60;25,38;47,92;2,59;1,72;0,16;18,72;1,56;1,32;0,04
02;dolnośląskie;020106;Warta Bolesławiecka, gm.;wiejska;bolesławiecki;4;44,27;99,23;0,67;32,38;44,08;1,55;2,22;0,04;16,46;1,02;1,41;0,18
02;dolnośląskie;020201;Bielawa, m.;miejska;dzierżoniowski;15;49,04;99,20;0,73;27,86;49,97;2,53;0,99;0,20;15,56;1,30;0,60;0,27
02;dolnośląskie;020202;Dzierżoniów, m.;miejska;dzierżoniowski;21;52,91;99,35;0,85;28,48;50,22;2,55;0,81;0,10;14,21;1,87;0,76;0,14
02;dolnośląskie;020203;Pieszyce, m.;miejska;dzierżoniowski;8;45,30;98,86;0,81;33,76;45,06;2,10;1,35;0,26;14,24;0,89;1,29;0,23
02;dolnośląskie;020204;Piława Górna, m.;miejska;dzierżoniowski;3;47,29;98,98;0,68;34,79;42,49;2,14;1,75;0,16;14,50;1,87;1,43;0,20
02;dolnośląskie;020205;Dzierżoniów, gm.;wiejska;dzierżoniowski;13;48,45;99,41;0,75;37,89;38,84;2,53;2,32;0,08;13,63;1,70;1,78;0,48
02;dolnośląskie;020206;Łagiewniki, gm.;wiejska;dzierżoniowski;6;45,88;99,18;0,68;36,87;38,85;1,69;3,08;0,18;14,53;1,58;2,40;0,14
02;dolnośląskie;020207;Niemcza, gm.;miejsko-wiejska;dzierżoniowski;6;47,64;98,97;0,91;33,25;46,57;1,65;1,35;0,35;13,41;1,30;0,91;0,30
02;dolnośląskie;020301;Głogów, m.;miejska;głogowski;37;56,98;99,29;0,77;35,74;39,00;2,32;0,88;0,13;18,81;1,60;0,55;0,20
